mssv,ho_ten,khoa,nam_hoc,tinh_tp,so_tin_chi,gpa,gio_tu_hoc,ngay_nhap_hoc
2200001,Bùi Thanh Yến,Ngôn ngữ,1,TP. Hồ Chí Minh,23,2.66,7.0,2022-09-23
2200002,Trần Văn Mai,Du lịch,4,Hà Nội,12,4.0,10.0,2022-09-09
2200003,Phạm Thị Nam,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,16,3.37,8.4,2022-09-08
2200004,Bùi Gia An,Kỹ thuật Công nghệ,2,Hà Nội,24,2.44,12.8,2022-09-17
2200005,Vũ Minh Khanh,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,14,2.58,,2022-09-18
2200006,Phạm Gia Dũng,Ngôn ngữ,3,TP. Hồ Chí Minh,15,1.89,12.0,2022-09-25
2200007,Hoàng Minh Dũng,Du lịch,2,Lâm Đồng,14,2.53,8.8,2022-09-08
2200008,Huỳnh Minh Mai,Du lịch,2,TP. Hồ Chí Minh,17,2.33,1.6,2022-09-23
2200009,Phan Văn Khanh,Kỹ thuật Công nghệ,3,Khánh Hòa,23,3.05,8.8,2022-09-24
2200010,Huỳnh Minh Phúc,Du lịch,2,Cần Thơ,13,2.41,9.8,2022-09-05
2200011,Bùi Gia Vy,Kinh tế,4,TP. Hồ Chí Minh,17,3.25,8.7,2022-09-25
2200012,Lê Thanh Giang,Ngôn ngữ,4,TP. Hồ Chí Minh,12,4.0,16.0,2022-09-15
2200013,Hoàng Văn Thảo,Kỹ thuật Công nghệ,2,Đồng Nai,18,2.55,13.4,2022-09-14
2200014,Lê Minh Hùng,Luật,1,Đồng Nai,19,2.01,,2022-09-20
2200015,Hoàng Gia Tuấn,Ngôn ngữ,2,Đà Nẵng,21,2.17,,2022-09-19
2200016,Đặng Quốc Nam,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,22,3.03,13.2,2022-09-09
2200017,Nguyễn Hữu Hà,Kinh tế,4,Đà Nẵng,16,2.86,5.4,2022-09-18
2200018,Phan Thanh Trang,Kinh tế,2,Đà Nẵng,14,3.01,9.8,2022-09-17
2200019,Huỳnh Văn Thảo,Kinh tế,3,TP. Hồ Chí Minh,15,2.9,11.5,2022-09-17
2200020,Phạm Ngọc Oanh,Kỹ thuật Công nghệ,2,Bình Dương,16,2.65,6.2,2022-09-13
2200021,Phạm Thị Dũng,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,16,3.03,15.7,2022-09-18
2200022,Nguyễn Văn Chi,Kỹ thuật Công nghệ,2,Lâm Đồng,16,2.47,11.5,2022-09-23
2200023,Huỳnh Thị Thảo,Kỹ thuật Công nghệ,1,Lâm Đồng,15,,10.6,2022-09-23
2200024,Hoàng Minh Nam,Luật,1,Cần Thơ,17,2.66,10.4,2022-09-13
2200025,Phan Gia Hà,Kinh tế,3,Đà Nẵng,18,3.05,11.9,2022-09-11
2200026,Lê Ngọc Giang,Ngôn ngữ,4,Đà Nẵng,18,2.95,13.6,2022-09-23
2200027,Nguyễn Minh Tuấn,Kỹ thuật Công nghệ,3,Khánh Hòa,16,,8.3,2022-09-14
2200028,Phạm Gia An,Ngôn ngữ,2,TP. Hồ Chí Minh,22,1.87,10.1,2022-09-08
2200029,Trần Minh Phúc,Ngôn ngữ,4,Bình Dương,16,2.95,6.1,2022-09-14
2200030,Phạm Thanh Quân,Kinh tế,2,Lâm Đồng,22,2.14,7.4,2022-09-13
2200031,Hoàng Thị Quân,Kinh tế,2,Đồng Nai,21,2.43,6.1,2022-09-05
2200032,Trần Quốc Sơn,Kỹ thuật Công nghệ,3,Hà Nội,21,3.03,10.7,2022-09-24
2200033,Nguyễn Minh Thảo,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,13,2.02,15.5,2022-09-14
2200034,Hoàng Gia Dũng,Kinh tế,4,TP. Hồ Chí Minh,19,2.53,,2022-09-14
2200035,Trần Văn Quân,Ngôn ngữ,4,TP. Hồ Chí Minh,21,3.16,5.1,2022-09-07
2200036,Đặng Minh Quân,Kỹ thuật Công nghệ,3,Hà Nội,20,2.55,10.1,2022-09-19
2200037,Đặng Thanh An,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,20,2.35,7.7,2022-09-24
2200038,Vũ Văn Chi,Du lịch,2,Bình Dương,16,1.79,8.9,2022-09-19
2200039,Vũ Gia Thảo,Kỹ thuật Công nghệ,2,Bình Dương,12,2.34,9.1,2022-09-18
2200040,Trần Gia Nam,Kinh tế,1,TP. Hồ Chí Minh,14,2.27,10.1,2022-09-12
2200041,Vũ Gia Nam,Luật,3,TP. Hồ Chí Minh,12,3.26,9.5,2022-09-11
2200042,Trần Thanh Yến,Luật,2,TP. Hồ Chí Minh,17,3.49,11.1,2022-09-24
2200043,Nguyễn Gia Bình,Luật,4,TP. Hồ Chí Minh,12,2.8,,2022-09-22
2200044,Nguyễn Hữu Nam,Kỹ thuật Công nghệ,2,Bình Dương,24,2.48,10.3,2022-09-22
2200045,Vũ Văn Bình,Luật,2,Hà Nội,22,2.44,9.9,2022-09-13
2200046,Lê Thị Hà,Kỹ thuật Công nghệ,2,Bình Dương,20,2.07,6.4,2022-09-16
2200047,Trần Thị Giang,Ngôn ngữ,3,Đồng Nai,14,2.06,10.8,2022-09-21
